COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M	p_MF	N_M	N_MF
DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif (RadC) (PDB:2QLC) (PUBMED:9695921)	0	1	1	NA	COG2003	GC_00000139	1	1	1	1
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	0	1	1	NA	COG0002	GC_00000868, GC_00002305	1	1	1	1
Transcription elongation factor, GreA/GreB family (GreA) (PDB:1GRJ)	0	1	1	NA	COG0782	GC_00000489, GC_00000980, GC_00001492, GC_00002990, GC_00004984, GC_00007375	1	1	1	1
Transcriptional accessory protein Tex/SPT6 (Tex) (PDB:2OCE)	0	1	1	NA	COG2183	GC_00000609	1	1	1	1
Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784)	0	1	1	NA	COG2518	GC_00004504, GC_00004762, GC_00006491	1	1	1	1
Transglutaminase-like enzyme, putative cysteine protease (YebA) (PDB:3ISR)!!!Uncharacterized conserved protein, DUF2126 family	0	1	1	NA	COG1305!!!COG4196	GC_00000467	1	1	1	1
Redox-regulated molecular chaperone, HSP33 family (HslO) (PDB:1HW7)	0	1	1	NA	COG1281	GC_00005127, GC_00005671	1	1	1	1
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)	0	1	1	NA	COG0493	GC_00002768, GC_00002978, GC_00004560	1	1	1	1
Undecaprenyl pyrophosphate phosphatase (UppP) (PDB:5OON)	0	1	1	NA	COG1968	GC_00000369, GC_00000660	1	1	1	1
Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)	0	1	1	NA	COG0209	GC_00001024, GC_00006601	1	1	1	1
Ribosomal protein L15 (RplO) (PDB:1VS6)	0	1	1	NA	COG0200	GC_00000518	1	1	1	1
Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)	0	1	1	NA	COG0456	GC_00000345, GC_00001530, GC_00001542, GC_00001726, GC_00001797, GC_00001944, GC_00002190, GC_00002258, GC_00002456, GC_00003181, GC_00003198, GC_00003699, GC_00003996, GC_00004178, GC_00004275, GC_00004475, GC_00004706, GC_00004952, GC_00005582, GC_00005629, GC_00005732, GC_00005753, GC_00006584, GC_00006633, GC_00006768, GC_00007393, GC_00007444, GC_00007746, GC_00008228, GC_00008289	1	1	1	1
Phosphoribosyl-AMP cyclohydrolase (HisI1) (PDB:1ZPS)	0	1	1	NA	COG0139	GC_00000717	1	1	1	1
Ribosomal protein L11 (RplK) (PDB:2E34)	0	1	1	NA	COG0080	GC_00000380	1	1	1	1
Ubiquinone biosynthesis accessory factor UbiK (UbiK) (PUBMED:28559279)	0	1	1	NA	COG2960	GC_00001669, GC_00007205	1	1	1	1
Pentose-5-phosphate-3-epimerase (Rpe) (PDB:1H1Y)	0	1	1	NA	COG0036	GC_00000246	1	1	1	1
DNA-binding response regulator, FixJ family, consists of REC and HTH domains (FixJ) (PDB:1YIO)	0	1	1	NA	COG4566	GC_00002886, GC_00005114	1	1	1	1
DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	0	1	1	NA	COG1309	GC_00000661, GC_00001091, GC_00001302, GC_00001558, GC_00001943, GC_00002076, GC_00002276, GC_00002278, GC_00002416, GC_00002579, GC_00002639, GC_00002657, GC_00002702, GC_00002815, GC_00003065, GC_00003259, GC_00003509, GC_00003537, GC_00003647, GC_00003738, GC_00003811, GC_00004041, GC_00004257, GC_00004260, GC_00004590, GC_00005027, GC_00005092, GC_00005145, GC_00005442, GC_00005445, GC_00005830, GC_00006048, GC_00006279, GC_00006311, GC_00006450, GC_00006620, GC_00006691, GC_00007094, GC_00007251, GC_00007349, GC_00007487, GC_00007499, GC_00007638, GC_00007971, GC_00008116, GC_00008136, GC_00008412, GC_00008518	1	1	1	1
NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit (PreA)	0	1	1	NA	COG1146	GC_00000126, GC_00003005	1	1	1	1
DNA-directed RNA polymerase, alpha subunit/40 kD subunit (RpoA) (PDB:4KN7)	0	1	1	NA	COG0202	GC_00000536	1	1	1	1
Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain	0	1	1	NA	COG4706	GC_00003437, GC_00008140	1	1	1	1
DNA polymerase III, chi subunit (HolC) (PDB:1EM8)	0	1	1	NA	COG2927	GC_00004460, GC_00006110	1	1	1	1
Nucleoside-specific outer membrane channel protein Tsx (Tsx) (PDB:1TLW)	0	1	1	NA	COG3248	GC_00002866, GC_00003568	1	1	1	1
Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit (RnfB) (PUBMED:24045950)	0	1	1	NA	COG2878	GC_00005448, GC_00006321	1	1	1	1
Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis) (MurJ) (PDB:5T77) (PUBMED:25013077)	0	1	1	NA	COG0728	GC_00001936, GC_00005034	1	1	1	1
4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	0	1	1	NA	COG3185	GC_00001134, GC_00007222	1	1	1	1
Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain (TsdA) (PUBMED:32457501)	0	1	1	NA	COG3258	GC_00002746, GC_00005189, GC_00006652, GC_00007016	1	1	1	1
Nicotinic acid phosphoribosyltransferase (PncB) (PDB:1VLP)	0	1	1	NA	COG1488	GC_00004124, GC_00006365	1	1	1	1
Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family (AarF) (PDB:4PED)	0	1	1	NA	COG0661	GC_00001574, GC_00004129	1	1	1	1
Beta-phosphoglucomutase, HAD superfamily (YcjU) (PDB:3E58) (PUBMED:29684280)	0	1	1	NA	COG0637	GC_00002600, GC_00003153, GC_00003281, GC_00003954, GC_00006594	1	1	1	1
Predicted PurR-regulated permease PerM (PerM)	0	1	1	NA	COG0628	GC_00000146, GC_00000238, GC_00004742, GC_00006181, GC_00006363, GC_00006446, GC_00006483, GC_00007601, GC_00008018	1	1	1	1
Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	0	1	1	NA	COG0671	GC_00001831, GC_00002572, GC_00003736, GC_00004644, GC_00005401, GC_00007407, GC_00007525, GC_00008083	1	1	1	1
Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)	0	1	1	NA	COG4585	GC_00002736, GC_00004872, GC_00005134	1	1	1	1
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	0	1	1	NA	COG0642!!!COG0784	GC_00000766, GC_00002339, GC_00006443, GC_00006478	1	1	1	1
ABC-type phosphate/phosphonate transport system, permease component (PhnE)	0	1	1	NA	COG3639	GC_00003128, GC_00006244, GC_00008111	1	1	1	1
Biotin carboxylase (AccC) (PDB:1BNC)	0	1	1	NA	COG0439	GC_00000710, GC_00007952	1	1	1	1
Poly-beta-hydroxybutyrate synthase (PhaC) (PDB:5XAV)	0	1	1	NA	COG3243	GC_00001152, GC_00002360, GC_00002684, GC_00006337	1	1	1	1
Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O) (SelO) (PDB:6EAC) (PUBMED:30270044)	0	1	1	NA	COG0397	GC_00001725, GC_00005198	1	1	1	1
NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K) (NuoK) (PDB:4HE8)	0	1	1	NA	COG0713	GC_00005989, GC_00006550	1	1	1	1
SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9)	0	1	1	NA	COG1974	GC_00000365, GC_00002142, GC_00007160, GC_00008144	1	1	1	1
Lipid-binding SYLF domain, Ysc84/FYVE family (SYLF) (PUBMED:21624956)	0	1	1	NA	COG2930	GC_00002213, GC_00004511	1	1	1	1
Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains (YedE)	0	1	1	NA	COG2391	GC_00000986, GC_00002145, GC_00004302	1	1	1	1
Na+/H+-dicarboxylate symporter (GltP) (PDB:1XFH)	0	1	1	NA	COG1301	GC_00000022, GC_00003515, GC_00003868, GC_00005178	1	1	1	1
Ribosomal protein L7/L12 (RplL) (PDB:1CTF)	0	1	1	NA	COG0222	GC_00000900	1	1	1	1
7-cyano-7-deazaguanine synthase (queuosine biosynthesis) (QueC) (PDB:2PG3) (PUBMED:14660578;17384645)	0	1	1	NA	COG0603	GC_00002033, GC_00004459	1	1	1	1
Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389)	0	1	1	NA	COG2246	GC_00001216, GC_00005705	1	1	1	1
Cytochrome oxidase maturation protein, CcoS/FixS family (FixS)	0	1	1	NA	COG3197	GC_00001628, GC_00006651	1	1	1	1
dCTP deaminase (Dcd) (PDB:1XS1)	0	1	1	NA	COG0717	GC_00000773	1	1	1	1
Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family (YejR) (PDB:1NIJ) (PUBMED:19822009;31132310)	0	1	1	NA	COG0523	GC_00001413, GC_00005091, GC_00005565, GC_00006562, GC_00006930	1	1	1	1
Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)	0	1	1	NA	COG0612	GC_00002136, GC_00004437, GC_00006767, GC_00007524	1	1	1	1
Imidazolonepropionase or related amidohydrolase (HutI) (PDB:3OOQ)	0	1	1	NA	COG1228	GC_00000697	1	1	1	1
Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O)	0	1	1	NA	COG1317	GC_00001658, GC_00002060	1	1	1	1
N-acetylglutamate kinase (ArgB) (PDB:3S6G)	0	1	1	NA	COG0548	GC_00000553	1	1	1	1
Nicotinamidase-related amidase (PncA) (PDB:1ILW)	0	1	1	NA	COG1335	GC_00000145, GC_00002411, GC_00003031, GC_00003649, GC_00004453, GC_00004752, GC_00004942, GC_00005673, GC_00005832, GC_00006098, GC_00006816, GC_00007953, GC_00008270	1	1	1	1
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G)	0	1	1	NA	COG0115	GC_00001018, GC_00001519, GC_00003849, GC_00004949	1	1	1	1
Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	0	1	1	NA	COG0169	GC_00000702, GC_00003175, GC_00003899, GC_00006899	1	1	1	1
Aspartate carbamoyltransferase, catalytic subunit (PyrB) (PDB:1NBE)	0	1	1	NA	COG0540	GC_00000237, GC_00006967	1	1	1	1
sRNA-binding regulator protein Hfq (Hfq) (PDB:1HK9)	0	1	1	NA	COG1923	GC_00000102	1	1	1	1
Glutamine synthetase adenylyltransferase (GlnE1) (PDB:1V4A)	0	1	1	NA	COG1391	GC_00003212, GC_00006712	1	1	1	1
Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains (YobV)	0	1	1	NA	COG2378	GC_00001631, GC_00002830, GC_00002870, GC_00004396, GC_00006647, GC_00008521	1	1	1	1
Type IV secretory pathway, VirJ component (VirJ)	0	1	1	NA	COG3946	GC_00005132, GC_00008152	1	1	1	1
Ribosomal protein S12 (RpsL) (PDB:4V4H)	0	1	1	NA	COG0048	GC_00000606	1	1	1	1
Cytochrome c553 (CytC553) (PDB:6Q2U)	0	1	1	NA	COG2863	GC_00001589, GC_00001964, GC_00002011, GC_00004086, GC_00004824, GC_00004987, GC_00005309, GC_00005913, GC_00006634, GC_00006912	1	1	1	1
1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family (Acd) (PDB:4D97)	0	1	1	NA	COG2515	GC_00001264, GC_00006039, GC_00006648, GC_00006736	1	1	1	1
Predicted lipocalin, contains AttH/CrtC domain (CrtC) (PDB:2ICH) (PUBMED:20944205)	0	1	1	NA	COG5621	GC_00003219, GC_00007451	1	1	1	1
Tryptophan synthase beta chain (TrpB) (PDB:2DH5)	0	1	1	NA	COG0133	GC_00000225	1	1	1	1
RecG-like helicase (RecG) (PDB:1GM5)	0	1	1	NA	COG1200	GC_00004671, GC_00008009	1	1	1	1
Cbb3-type cytochrome oxidase, cytochrome c subunit FixO (CcoO) (PDB:3MK7)	0	1	1	NA	COG2993	GC_00000056	1	1	1	1
Uncharacterized inner membrane protein YnfA, drug/metabolite transporter superfamily (YnfA) (PUBMED:25560019)	0	1	1	NA	COG1742	GC_00004849, GC_00005213	1	1	1	1
Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport (ApaG) (PDB:1TZA)	0	1	1	NA	COG2967	GC_00000725	1	1	1	1
Proline dehydrogenase (PutA) (PDB:5KF6)!!!Delta 1-pyrroline-5-carboxylate dehydrogenase (PutA2) (PDB:5KF6)	0	1	1	NA	COG0506!!!COG4230	GC_00000746	1	1	1	1
ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)	0	1	1	NA	COG1131	GC_00002315, GC_00002898, GC_00003255, GC_00005711, GC_00005882, GC_00007394, GC_00007696	1	1	1	1
Phage protein U	0	1	1	NA	COG3499	GC_00000487, GC_00008245	1	1	1	1
Predicted Kef-type K+ transport protein, K+/H+ antiporter domain (RosB)	0	1	1	NA	COG4651	GC_00000482	1	1	1	1
Chorismate mutase (PheA) (PDB:1ECM)	0	1	1	NA	COG1605	GC_00001179, GC_00002692, GC_00007778	1	1	1	1
Arginine exporter protein ArgO (ArgO)	0	1	1	NA	COG1279	GC_00006343, GC_00007812	1	1	1	1
Cytidylate kinase (Cmk) (PDB:3R20) (PUBMED:19111750;25691594;28928205)	0	1	1	NA	COG0283	GC_00005205, GC_00005604	1	1	1	1
Delta-aminolevulinic acid dehydratase, porphobilinogen synthase (HemB) (PDB:1I8J)	0	1	1	NA	COG0113	GC_00000930, GC_00003232	1	1	1	1
4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis) (EntD) (PDB:4QJK)	0	1	1	NA	COG2977	GC_00001643, GC_00006066	1	1	1	1
Uncharacterized conserved protein, Alpha-E superfamily (Alpha-E) (PUBMED:20023723)!!!Circularly permuted ATP-grasp protein (PDB:3N6X) (PUBMED:20023723)	0	1	1	NA	COG2307!!!COG2308	GC_00005895, GC_00006325	1	1	1	1
Predicted DNA-binding protein, XRE-type HTH domain	0	1	1	NA	COG5606	GC_00004859, GC_00006897, GC_00007096	1	1	1	1
Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown)	0	1	1	NA	COG4315	GC_00001453, GC_00003469	1	1	1	1
Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain (RoxA) (PDB:1VRB)	0	1	1	NA	COG2850	GC_00000504, GC_00001202, GC_00002771, GC_00003156, GC_00004015, GC_00007194	1	1	1	1
ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme (YbeY) (PDB:1XM5) (PUBMED:17407324;23543739)	0	1	1	NA	COG0319	GC_00005699, GC_00007108	1	1	1	1
1-deoxy-D-xylulose 5-phosphate reductoisomerase (Dxr) (PDB:1JVS)	0	1	1	NA	COG0743	GC_00000812	1	1	1	1
Glutamine synthetase (GlnA) (PDB:1F1H)	0	1	1	NA	COG0174	GC_00000268, GC_00000794, GC_00001338, GC_00006700, GC_00007450, GC_00007488, GC_00008358	1	1	1	1
3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049)	0	1	1	NA	COG0084	GC_00001212, GC_00002368, GC_00004161, GC_00006116, GC_00007590	1	1	1	1
Phenylalanine-4-hydroxylase (PhhA) (PDB:1PHZ)	0	1	1	NA	COG3186	GC_00004351, GC_00005719	1	1	1	1
Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla (MlaC) (PDB:2QGU) (PUBMED:19383799)	0	1	1	NA	COG2854	GC_00002674, GC_00002741	1	1	1	1
Ribosomal protein S18 (RpsR) (PDB:4V4H)	0	1	1	NA	COG0238	GC_00000933	1	1	1	1
2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes (SucA) (PDB:2JGD)	0	1	1	NA	COG0567	GC_00000787	1	1	1	1
DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661)	0	1	1	NA	COG3391	GC_00001434, GC_00001827, GC_00004297, GC_00004668, GC_00004810, GC_00004838, GC_00005232	1	1	1	1
Porphobilinogen deaminase (HemC) (PDB:1AH5)	0	1	1	NA	COG0181	GC_00000744	1	1	1	1
Anthranilate phosphoribosyltransferase, glycosyltransferase domain (TrpD) (PDB:1KGZ)	0	1	1	NA	COG0547	GC_00001524, GC_00003120, GC_00005891, GC_00007209	1	1	1	1
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ)	0	1	1	NA	COG0758	GC_00001867, GC_00007848	1	1	1	1
Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ (FliF) (PDB:6SCN)	0	1	1	NA	COG1766	GC_00003999, GC_00007441	1	1	1	1
Large exoprotein involved in heme utilization or adhesion (FhaB) (PDB:4RM6)	0	1	1	NA	COG3210	GC_00002252, GC_00002699, GC_00003550, GC_00003652, GC_00004121, GC_00005544, GC_00005558, GC_00005609, GC_00007199, GC_00007322, GC_00007374, GC_00007991, GC_00008194	1	1	1	1
Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase (LpxA) (PDB:1J2Z)	0	1	1	NA	COG1043	GC_00004109, GC_00006789	1	1	1	1
Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)	0	1	1	NA	COG0599	GC_00000513, GC_00004205, GC_00006533, GC_00007977, GC_00008385	1	1	1	1
Dihydropteroate synthase (FolP) (PDB:1AD1)	0	1	1	NA	COG0294	GC_00005858, GC_00008087	1	1	1	1
Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase) (BrkB)	0	1	1	NA	COG1295	GC_00001144, GC_00004213, GC_00005590	1	1	1	1
Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)	0	1	1	NA	COG0247	GC_00000834, GC_00002298, GC_00006834	1	1	1	1
Outer membrane lipoprotein-sorting protein (LolA) (PDB:1IWL)	0	1	1	NA	COG2834	GC_00001531, GC_00001690, GC_00005550, GC_00007805	1	1	1	1
Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY) (HemYx)	0	1	1	NA	COG3071	GC_00006106, GC_00007962	1	1	1	1
Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)	0	1	1	NA	COG0150	GC_00001005	1	1	1	1
Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)	0	1	1	NA	COG0127	GC_00002678, GC_00005863	1	1	1	1
Cbb3-type cytochrome oxidase, subunit 3 (CcoQ)	0	1	1	NA	COG4736	GC_00000188, GC_00007849	1	1	1	1
Cob(II)alamin adenosyltransferase (PduO) (PDB:1NOG)	0	1	1	NA	COG2096	GC_00004725, GC_00006988	1	1	1	1
Various environmental stresses-induced protein Ves (function unknown) (Ves) (PDB:1YLL) (PUBMED:14499931)	0	1	1	NA	COG3758	GC_00001505, GC_00005243, GC_00005436	1	1	1	1
Predicted dinucleotide-binding enzyme (PDB:2VNS)	0	1	1	NA	COG2085	GC_00001765, GC_00001850, GC_00007768	1	1	1	1
Ribosomal protein L18 (RplR) (PDB:1VS6)	0	1	1	NA	COG0256	GC_00000936	1	1	1	1
Uncharacterized membrane protein, DsbD domain (DsbD) (PUBMED:17768248)	0	1	1	NA	COG2836	GC_00001400, GC_00007139	1	1	1	1
tRNA U47 aminocarboxypropyltransferaseTapT/TuaA/ YfiP, DTW domain (TapT) (PUBMED:31804502;31863583)	0	1	1	NA	COG3148	GC_00003778, GC_00004662, GC_00004894	1	1	1	1
Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473)	0	1	1	NA	COG1359	GC_00001320, GC_00003389, GC_00005037, GC_00005567, GC_00006632	1	1	1	1
Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters (YgfZ) (PDB:1NRK) (PUBMED:27941785;22081392)	0	1	1	NA	COG0354	GC_00001678, GC_00002285	1	1	1	1
Predicted component of the type VI protein secretion system, contains a FHA domain (PDB:1DMZ) (PUBMED:16698547)	0	1	1	NA	COG3456	GC_00006671, GC_00008447	1	1	1	1
tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)!!!Methionyl-tRNA synthetase (MetG) (PDB:1A8H)	0	1	1	NA	COG0073!!!COG0143	GC_00000716	1	1	1	1
Ribosomal protein L5 (RplE) (PDB:1VS6)	0	1	1	NA	COG0094	GC_00000544	1	1	1	1
Ribosomal protein L2 (RplB) (PDB:1VS6)	0	1	1	NA	COG0090	GC_00000869	1	1	1	1
Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)!!!Copper chaperone CopZ (CopZ) (PDB:1AFI)	0	1	1	NA	COG2217!!!COG2608	GC_00001068	1	1	1	1
Predicted membrane flippase AglD2/YbhN, UPF0104 family (AglD2) (PUBMED:25583072)!!!Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain (MprF2) (PDB:5VRV) (PUBMED:14702396;30563904)	0	1	1	NA	COG0392!!!COG2898	GC_00003494, GC_00003844	1	1	1	1
L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH)	0	1	1	NA	COG4948	GC_00000805, GC_00001107, GC_00004596, GC_00007405, GC_00007866	1	1	1	1
Aconitase A (AcnA) (PDB:1ACO)	0	1	1	NA	COG1048	GC_00000990, GC_00001071	1	1	1	1
Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family (RarD) (PUBMED:26335199)	0	1	1	NA	COG2962	GC_00001653, GC_00003845, GC_00004020, GC_00007372, GC_00008460	1	1	1	1
Polyphosphate kinase (Ppk) (PDB:1XDO)	0	1	1	NA	COG0855	GC_00000078	1	1	1	1
Uncharacterized Zn-ribbon-containing protein (PhnA) (PDB:2AKK)	0	1	1	NA	COG2824	GC_00000692	1	1	1	1
Outer membrane translocation and assembly module TamA (TamA) (PDB:4BZA)	0	1	1	NA	COG0729	GC_00002470, GC_00003034, GC_00006512	1	1	1	1
Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)	0	1	1	NA	COG1249	GC_00000568, GC_00000997, GC_00003779, GC_00006887, GC_00008304	1	1	1	1
Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	0	1	1	NA	COG1226	GC_00006393, GC_00006959	1	1	1	1
Putative NADPH-quinone reductase (modulator of drug activity B) (MdaB) (PDB:1D4A)	0	1	1	NA	COG2249	GC_00001715, GC_00002389, GC_00005868, GC_00006759	1	1	1	1
Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities) (PpsR) (PDB:5D0N)	0	1	1	NA	COG1806	GC_00001887, GC_00002718	1	1	1	1
ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)	0	1	1	NA	COG0725	GC_00001812, GC_00002299, GC_00006069, GC_00008151	1	1	1	1
tRNA 5-hydroxyU34 O-methylase TrmR/YrrM (TrmR) (PDB:1H1D) (PUBMED:29982645)	0	1	1	NA	COG4122	GC_00000854, GC_00002038	1	1	1	1
Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	0	1	1	NA	COG0682	GC_00003137, GC_00005966	1	1	1	1
RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL)	0	1	1	NA	COG1734	GC_00002905, GC_00003914, GC_00004240, GC_00004377	1	1	1	1
Protein translocase subunit YajC (YajC)	0	1	1	NA	COG1862	GC_00006737, GC_00007902	1	1	1	1
Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68)	0	1	1	NA	COG2076	GC_00000514, GC_00001799, GC_00001978, GC_00004925, GC_00006237, GC_00007042	1	1	1	1
Intracellular septation protein A (YciB)	0	1	1	NA	COG2917	GC_00003378, GC_00006995	1	1	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase (FkpA) (PDB:1A7X)	0	1	1	NA	COG0545	GC_00003939, GC_00004148, GC_00005388, GC_00005618, GC_00007182	1	1	1	1
Predicted acylesterase/phospholipase RssA, containd patatin domain (RssA) (PDB:5FQU)	0	1	1	NA	COG1752	GC_00001333, GC_00001377, GC_00001595, GC_00002907, GC_00003445, GC_00003840, GC_00005419, GC_00006312, GC_00008249	1	1	1	1
Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI)	0	1	1	NA	COG0053	GC_00002367, GC_00003772, GC_00008488	1	1	1	1
Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)	0	1	1	NA	COG3209	GC_00005986, GC_00007399	1	1	1	1
Predicted double-glycine leader peptidase, C39-like (CLD) domain (C39G) (PUBMED:27279651)	0	1	1	NA	COG3271	GC_00003403, GC_00003665	1	1	1	1
DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)	0	1	1	NA	COG0086	GC_00000989	1	1	1	1
Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)!!!Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)	0	1	1	NA	COG0646!!!COG1410	GC_00001016	1	1	1	1
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	0	1	1	NA	COG1396	GC_00001951, GC_00002094, GC_00002523, GC_00002969, GC_00003571, GC_00003850, GC_00004376, GC_00004689, GC_00004880, GC_00005817, GC_00007459	1	1	1	1
Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	0	1	1	NA	COG0166	GC_00000386	1	1	1	1
23S rRNA pseudoU1915 N3-methylase RlmH (RlmH) (PDB:1NS5)	0	1	1	NA	COG1576	GC_00002423, GC_00005016	1	1	1	1
Flagellar basal body-associated protein FliL (FliL)	0	1	1	NA	COG1580	GC_00002773, GC_00005416, GC_00005724	1	1	1	1
Inorganic triphosphatase YgiF, contains CYTH and CHAD domains (PPPi) (PDB:5A60) (PUBMED:22984449)	0	1	1	NA	COG3025	GC_00001370, GC_00002347	1	1	1	1
Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM)	0	1	1	NA	COG0509	GC_00000168	1	1	1	1
Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q)	0	1	1	NA	COG0643	GC_00006178, GC_00006380	1	1	1	1
Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily (HisB1/GmhB) (PDB:2GMW) (PUBMED:20050615;20050614)	0	1	1	NA	COG0241	GC_00000671	1	1	1	1
Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis) (ArfB) (PDB:1J2T)	0	1	1	NA	COG1402	GC_00006345, GC_00008483	1	1	1	1
Urease accessory protein UreF (UreF) (PDB:3SF5)	0	1	1	NA	COG0830	GC_00002236, GC_00006249	1	1	1	1
Predicted hydrolase of the alpha/beta-hydrolase fold (YheT)	0	1	1	NA	COG0429	GC_00007233, GC_00007940	1	1	1	1
Uncharacterized CoxE-like protein,  contains von Willebrand factor type A (vWA) domain (CoxE2)	0	1	1	NA	COG3825	GC_00000653	1	1	1	1
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)	0	1	1	NA	COG0079	GC_00000404, GC_00001003, GC_00004919, GC_00006676	1	1	1	1
Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	0	1	1	NA	COG0372	GC_00000209, GC_00000996	1	1	1	1
